Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,79.117142,79.285713,73.599998,74.842857,53.945232,497993300
2013-01-08,75.601425,75.984283,71.215714,71.678574,51.664482,638043000
2013-01-15,71.185715,72.964287,69.054283,71.428574,51.484295,623544600
2013-01-22,72.080002,73.570000,62.142857,64.261429,46.318352,1194363100
2013-01-29,65.500000,66.085716,63.142857,63.188572,45.545059,581062300
2013-02-05,63.435715,69.277145,63.174286,68.561432,49.417709,755570900
2013-02-12,68.501427,68.911430,65.702858,65.737144,49.385067,457820300
2013-02-19,65.871429,66.104286,63.224285,63.257141,47.521954,515625600
2013-02-26,63.402859,64.634285,59.857143,60.007141,45.080402,636642300
2013-03-05,60.211430,62.715714,60.107143,62.552856,46.992863,608218800
2013-03-12,62.228573,65.351425,60.765713,65.102859,48.908554,606373600
2013-03-19,65.642860,67.135712,64.071426,66.225716,49.752102,528733100
2013-03-26,66.491432,66.548569,61.105713,61.272858,46.031269,364525700
2013-04-02,61.085712,62.591427,59.954285,60.887142,45.741497,483926800
2013-04-09,60.908573,62.570000,59.935715,59.978573,45.058929,391759900
2013-04-16,60.224285,60.944286,55.014286,56.952858,42.785866,739080300
2013-04-23,57.712856,61.945713,56.071430,61.445713,46.161133,855787800
2013-04-30,62.157143,66.028572,61.724285,65.815712,49.444084,619554600
2013-05-07,66.424286,66.535713,64.354286,64.962860,48.803379,501659900
2013-05-14,64.835716,65.028572,59.842857,63.275715,49.829514,667854600
2013-05-21,62.592857,64.050003,62.028572,63.592857,50.079258,382062100
2013-05-28,64.271431,65.300003,62.771427,64.388573,50.705879,456724100
2013-06-04,64.745712,64.918571,61.824287,62.698570,49.375008,463735300
2013-06-11,62.248573,63.251427,61.214287,61.714287,48.599884,342113100
2013-06-18,61.651428,62.128571,56.864285,57.505714,45.285645,456285200
2013-06-25,57.957142,58.895714,55.552856,58.459999,46.037151,497175700
2013-07-02,58.565716,60.470001,58.495716,59.292858,46.693016,320739300
2013-07-09,59.085712,61.637142,58.625713,61.062859,48.086884,370440700
2013-07-16,60.931427,62.124287,60.595715,60.901428,47.959759,277731300
2013-07-23,60.857143,64.284286,59.815716,63.970001,50.376251,409759000
2013-07-30,64.279999,67.238571,64.175713,67.064285,52.813000,358067500
2013-08-06,66.860001,67.412857,64.807144,66.765717,52.577877,380198000
2013-08-13,67.277145,73.391426,66.864288,72.534286,59.869583,750358000
2013-08-20,72.815712,72.938568,71.171425,71.852859,59.307144,373118200
2013-08-27,71.142860,71.787140,69.428574,69.602859,57.449993,310937900
2013-09-03,70.442856,72.559998,69.621429,72.309998,59.684464,403385500
2013-09-10,72.314285,72.492859,63.888573,64.302856,53.075378,722121400
2013-09-17,63.994286,70.987144,63.928570,70.091431,57.853252,680548400
2013-09-24,70.697144,70.781425,67.772858,68.107140,56.215424,351680000
2013-10-01,68.349998,70.378571,68.339996,69.678574,57.512489,384245400
2013-10-08,69.991432,71.082855,68.325714,70.862854,58.489990,350220500
2013-10-15,71.072861,74.900002,70.788574,74.480003,61.475578,378354200
2013-10-22,75.201431,76.175713,72.575714,75.697144,62.480202,530196100
2013-10-29,76.610001,77.035713,73.505714,75.250000,62.111115,446296200
2013-11-05,74.940002,75.555717,73.197144,74.150002,61.203194,314494600
2013-11-12,73.952858,75.611427,73.851425,74.089996,63.743671,311695300
2013-11-19,74.147141,75.124283,73.381432,74.820000,64.371750,279479900
2013-11-26,74.874283,80.618568,74.857140,78.747147,67.750488,388875900
2013-12-03,79.757141,82.162857,79.668571,80.918571,69.618690,485300900
2013-12-10,80.511429,81.567146,79.095711,79.642860,68.521118,378923300
2013-12-17,79.401428,81.531425,76.971428,81.441429,70.068520,513448600
2013-12-24,81.412857,81.697144,78.902855,79.217140,68.154839,212769200
2013-12-31,79.167145,80.182854,76.228569,77.704285,66.853264,315711900
2014-01-07,77.760002,78.122856,75.697144,76.532860,65.845406,384589100
2014-01-14,76.888573,80.028572,76.808571,77.238571,66.452576,345054500
2014-01-21,77.284286,79.612854,77.202858,78.642860,67.660759,523996200
2014-01-28,72.680000,73.571426,70.507141,71.647141,61.641964,778274000
2014-02-04,72.264282,75.998573,71.822861,75.570000,65.017014,419657700
2014-02-11,75.801430,77.997147,75.642860,77.712860,69.766502,292670000
2014-02-18,78.000000,78.741432,74.631432,75.364288,67.658081,361893000
2014-02-25,75.625717,76.107140,73.657143,75.394287,67.684998,355200300
